合约,名称,方向,信号类型,Renko强度,最新价,RSI,最近支撑,最近阻力,Renko详情,强弱总分,强弱判定,突破说明,回调说明,共振说明
LC0,碳酸锂,做多,密集区突破多,0.3333,163766.0,73.04,161838.5,166464.5,向上突破密集区 156056.0000-158369.0000，连续 2 块上涨确认,59,★★★ 中性偏强,价格在近期区间内震荡，无明确突破信号,回调中性：方向不鲜明,多周期共振强势：均线多头排列，短/中期斜率向上
RU0,天然橡胶,做多,趋势回撤多头,0.625,16764.0,56.65,16755.5,17571.5,上涨趋势确认后回撤 37.5%，近 2 块上涨砖重启,58,★★★ 中性偏强,假突破嫌疑：触及高点但长上影(77%)，抛压明显,回调极强：缩量小阴/十字星，低点抬高，稳守 10 周期线上方,价格在 20 周期线上方，中期偏强
SA0,纯碱,做多,密集区突破多,0.2833,1104.8,47.18,1102.1,1123.7,向上突破密集区 1094.0000-1099.4000，连续 2 块上涨确认,58,★★★ 中性偏强,假突破嫌疑：触及高点但长上影(67%)，抛压明显,回调极强：缩量小阴/十字星，低点抬高，稳守 10 周期线上方,价格在 20 周期线上方，中期偏强
CU0,铜,做多,密集区突破多,0.5,103070.0,60.73,103020.0,,向上突破密集区 102270.0000-102570.0000，连续 2 块上涨确认,57,★★★ 中性偏强,接近近期高点但收阴，突破质量一般,回调中性：方向不鲜明,均线多头排列，趋势偏强
TF0,5年期国债期货,做多,密集区突破多,0.4167,106.355,48.45,106.3,106.36,向上突破密集区 106.2850-106.3150，连续 2 块上涨确认,53,★★ 中性偏弱,接近近期高点但收阴，突破质量一般,回调中性：方向不鲜明,价格在 20 周期线上方，中期偏强
SP0,纸浆,做多,趋势回撤多头,0.7,4694.9,61.9,4687.475,,上涨趋势确认后回撤 30.0%，近 2 块上涨砖重启,51,★★ 中性偏弱,接近近期高点但收阴，突破质量一般,回调中性：方向不鲜明,价格在 20 周期线上方，中期偏强
SM0,锰硅,做多,密集区突破多,0.2833,5817.2,50.77,5783.9,5828.3,向上突破密集区 5772.8000-5795.0000，连续 2 块上涨确认,51,★★ 中性偏弱,接近近期高点但收阴，突破质量一般,回调中性：方向不鲜明,价格在 20 周期线上方，中期偏强
ZN0,沪锌,做多,密集区突破多,0.4167,24340.0,55.91,24273.75,24432.75,向上突破密集区 24234.0000-24313.5000，连续 2 块上涨确认,48,★★ 中性偏弱,价格在近期区间内震荡，无明确突破信号,回调中性：方向不鲜明,价格在 20 周期线下方，中期偏弱
RM0,菜粕,做空,密集区突破空,0.3667,2267.9,48.15,2253.725,2272.625,向下突破密集区 2286.8000-2296.2500，连续 2 块下跌确认,48,★★ 中性偏弱,价格在近期区间内震荡，无明确突破信号,回调中性：方向不鲜明,价格在 20 周期线下方，中期偏弱
IC0,中证500指数期货,中性,rsi_risk,0.0,8756.8,85.78,8513.05,,严重超买(RSI=85.8),48,★★ 中性偏弱,价格在近期区间内震荡，无明确突破信号,回调中性：方向不鲜明,价格在 20 周期线下方，中期偏弱
IF0,沪深300指数期货,中性,rsi_risk,0.0,5020.0,83.0,4908.75,,严重超买(RSI=83.0),46,★★ 中性偏弱,价格在近期区间内震荡，无明确突破信号,回调中性：方向不鲜明,价格在 20 周期线下方，中期偏弱
IM0,中证指数期货,做多,W底突破,0.5,8739.2,74.22,8534.45,,W 底突破颈线 8700.2000，左底 8544.2000，右底 8622.2000,43,★ 弱势,价格在近期区间内震荡，无明确突破信号,回调偏弱：跌破 10 周期线，反弹无力,价格在 20 周期线下方，中期偏弱
Y0,豆油,做空,密集区突破空,0.3167,8415.0,52.89,8396.25,8441.25,向下突破密集区 8430.0000-8452.5000，连续 2 块下跌确认,43,★ 弱势,价格在近期区间内震荡，无明确突破信号,回调偏弱：跌破 10 周期线，反弹无力,价格在 20 周期线下方，中期偏弱
M0,豆粕,做空,密集区突破空,0.2667,2968.4,55.68,2966.95,2984.35,向下突破密集区 2980.0000-2988.7000，连续 2 块下跌确认,43,★ 弱势,价格在近期区间内震荡，无明确突破信号,回调中性：方向不鲜明,价格在 20 周期线下方，中期偏弱
RB0,螺纹钢,做多,密集区突破多,0.2667,3134.6,35.65,3130.05,3157.35,向上突破密集区 3128.1000-3132.0000，连续 2 块上涨确认,41,★ 弱势,弱势：收盘接近近期低点,回调极弱：连阴下跌，空头主导,多周期共振弱势：均线空头排列，短/中期斜率向下
AO0,氧化铝,中性,rsi_risk,0.0,2689.6,17.68,,2746.975,严重超卖(RSI=17.7),40,★ 弱势,弱势：收盘接近近期低点,回调中性：方向不鲜明,多周期共振弱势：均线空头排列，短/中期斜率向下
I0,铁矿石,做多,密集区突破多,0.4667,745.08,60.78,742.48,748.72,向上突破密集区 740.9200-744.0400，连续 2 块上涨确认,39,★ 弱势,价格在近期区间内震荡，无明确突破信号,回调中性：方向不鲜明,多周期共振弱势：均线空头排列，短/中期斜率向下
P0,棕榈油,做空,密集区突破空,0.3167,9128.6,35.27,,9177.775,向下突破密集区 9156.7000-9198.8500，连续 2 块下跌确认,33,★ 弱势,弱势：收盘接近近期低点,回调极弱：连阴下跌，空头主导,多周期共振弱势：均线空头排列，短/中期斜率向下
